,oldAIC,AIC,cost,country,time,a,r,beta_I,beta_A,mu_I,mu_A,nu,I0,alpha,t_lock,beta_lock
62,-443.20568490238793,-1920.111319423576,0.013389811750706035,Portugal,exp,0.0,0.0,1.4983504249207544,0.25600219352546844,8.401406065891325e-08,1.7944965334371683,1.0369554402125911,2.2230949941848042e-14,0.06060766525161052,,
63,-1005.786819502418,-1917.1705900909824,0.008145292008338465,Portugal,exp,1.0,0.0,1.5661889482187326,0.2975336513241048,2.050236343927949e-08,4.612318311203814,0.3251478546753675,2.095346118126288e-14,0.060520910729200475,,
64,-1137.839164211202,-1903.432822016964,0.004553897608838131,Belgium,fermi,1.0,0.0,0.6072391330268238,14.822071531601535,0.010677801986966915,47.73560998290848,0.2741522507145825,6.281630218643238e-13,0.05712425622307324,0.6946154917054632,
65,-541.3939774837525,-1895.5386471209736,0.005568676194149104,Belgium,exp,0.0,0.0,0.02566764628691209,1.208980880529896,0.0235435360715186,0.2500301610887887,2.172674496372705,7.183581243226772e-12,0.05038009269555982,,
66,-533.9538174781662,-1887.1639722179734,0.005969669491014705,Belgium,rational,0.0,0.0,0.02106114904751007,0.9518418558350492,0.0941588099748919,0.3926118110561442,0.675104908901546,4.067188172733992e-11,0.0398017232832913,,
67,-1125.616283723608,-1876.4752170425504,0.004866843339167482,Belgium,exp,1.0,0.0,0.03358696892117483,3.0592243431438817,0.08655538553939847,2.2506669033037423,0.07305055752485891,1.1408880679919305e-12,0.016074648842459738,,
68,-1128.6675855336205,-1870.5693335421995,0.004797942222186411,Belgium,rational,1.0,0.0,0.0002972600597979288,0.92873963371763,0.09024172517884697,0.02534446381280914,3.7751694727677054,1.2427930315665011e-11,0.04790413425586255,,
69,-427.69993170678646,-1858.9137031399184,0.015498988925462457,Portugal,rational,0.0,0.0,0.1956925479296769,1.6820817477605563,0.07455561827375151,0.5874128175721215,1.890669558517394,1.6270982914386047e-15,0.06599455032511156,,
70,-956.2003263785771,-1844.4634679202527,0.010641517539571764,Belgium,lock,1.0,0.0,0.07729205487977295,0.5435892831892323,0.9559457199457528,0.05418300840845772,0.6024474158779652,5.299703842743597e-08,,42.00000243340333,0.2670947922321548
71,-429.57477170319123,-1806.6905150891089,0.019387251412836586,Spain,lock,0.0,0.0,0.34441583477741805,0.15535556720463278,0.2180017730373352,0.2700023174112189,2.025774853005874,3.0748188707988357e-09,,47.99995219230211,0.08597758062443484
